file_id,emotion,raw_text,normalized_text,speaker_id,gender,age
EB0_neutral_13.wav,neutral,Interesuje mnie historia Polski.,interesuje mnie historia polski,        EB0,female,27
MP0_sadness_79.wav,sad,Mleko jest źródłem wapnia i innych składników odżywczych.,mleko jest źródłem wapnia i innych składników odżywczych,        MP0,male,24
MP0_sadness_51.wav,sad,Strzelec to znak zodiaku następujący po Skorpionie.,strzelec to znak zodiaku następujący po skorpionie,        MP0,male,24
WR0_happiness_86.wav,happy,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.,myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu,        WR0,male,23
KD0_neutral_2.wav,neutral,Nie waśńmy się ze sobą.,nie waśńmy się ze sobą,        KD0,female,28
MP0_sadness_45.wav,sad,Postanowiłem wynająć samochód na wakacje.,postanowiłem wynająć samochód na wakacje,        MP0,male,24
WR0_happiness_79.wav,happy,Mleko jest źródłem wapnia i innych składników odżywczych.,mleko jest źródłem wapnia i innych składników odżywczych,        WR0,male,23
KS0_happiness_19.wav,happy,W wolnym czasie lubię czytać książki.,w wolnym czasie lubię czytać książki,        KS0,male,23
MK0_anger_8.wav,angry,Moja ciocia jest bardzo pomocna.,moja ciocia jest bardzo pomocna,        MK0,female,23
TP0_neutral_58.wav,neutral,Otrzymałem piękną pocztówkę z widokiem na góry.,otrzymałem piękną pocztówkę z widokiem na góry,        TP0,male,26
TP0_neutral_70.wav,neutral,Człowiek zaczyna umierać już w momencie narodzin.,człowiek zaczyna umierać już w momencie narodzin,        TP0,male,26
WR0_happiness_45.wav,happy,Postanowiłem wynająć samochód na wakacje.,postanowiłem wynająć samochód na wakacje,        WR0,male,23
IC0_sadness_21.wav,sad,Egipcjanie uważali ibisy za święte.,egipcjanie uważali ibisy za święte,        IC0,female,28
MK0_sadness_23.wav,sad,Woda w basenie jest bardzo ciepła.,woda w basenie jest bardzo ciepła,        MK0,female,23
KS0_happiness_25.wav,happy,Gorzka czekolada jest idealna na deser.,gorzka czekolada jest idealna na deser,        KS0,male,23
KS0_happiness_31.wav,happy,Dokarmcie koty wychodząc z domu.,dokarmcie koty wychodząc z domu,        KS0,male,23
MK0_sadness_37.wav,sad,Relaksujące piosnki poprawiają nastrój.,relaksujące piosnki poprawiają nastrój,        MK0,female,23
TP0_neutral_64.wav,neutral,Ucho wykrywa dźwięki o różnej częstotliwości.,ucho wykrywa dźwięki o różnej częstotliwości,        TP0,male,26
WR0_happiness_51.wav,happy,Strzelec to znak zodiaku następujący po Skorpionie.,strzelec to znak zodiaku następujący po skorpionie,        WR0,male,23
IC0_sadness_35.wav,sad,"Aby upiec ciasto, muszę kupić mączkę.",aby upiec ciasto muszę kupić mączkę,        IC0,female,28
MP0_sadness_86.wav,sad,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.,myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu,        MP0,male,24
SM0_neutral_86.wav,neutral,Myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu.,myślmy pozytywnie i skupmy się na dobrych rzeczach w naszym życiu,        SM0,male,24
EB0_anger_57.wav,angry,Jedz inaczej aby polepszyć swoje zdrowie.,jedz inaczej aby polepszyć swoje zdrowie,        EB0,female,27
KS0_neutral_22.wav,neutral,Piesek wszedł do rzeki żeby popływać.,piesek wszedł do rzeki żeby popływać,        KS0,male,23
EB0_anger_43.wav,angry,Niania odegrała w moim życiu ważną rolę.,niania odegrała w moim życiu ważną rolę,        EB0,female,27
